	NR	Malgruppe	Alder	Region	Kjonnsidentitet	KID_egne_ord	Cis	Spesifiser_Cis	Pronomener	Intersex	Seksuell_orientering_1	Seksuell_orientering_2	Seksuell_orientering_3	Seksuell_orientering_4	Seksuell_orientering_5	Seksuell_orientering_6	Seksuell_orientering_7	Seksuell_orientering_8	SO_egne_ord	Annen_RO	RO_1	RO_2	RO_3	RO_4	RO_5	RO_6	RO_7	RO_8	RO_egne_ord	Synlig_Skeiv_1	Synlig_Skeiv_2	Synlig_Skeiv_3	Synlig_Skeiv_4	Synlig_Skeiv_5	Skeiv_ID	Marginalisert_ident	Spesifiser_marg_ident	Sist_besok	Hyppighet	Urban	Deichman	Valgt_andre_bib	UV	UBU	Andre_temaer	Arr	utlan	bla_i	datamaskin	still_spm	utrygt	m_med_respekt	feilkjonnet	antatt_orientering	Interaksjon_bibansatt_1	Interaksjon_bibansatt_2	Interaksjon_bibansatt_3	Interaksjon_bibansatt_4	Interaksjon_brukere_1	Interaksjon_brukere_2	Interaksjon_brukere_3	Interaksjon_brukere_4	Utvalg_KID	Utvalg_Orientering	Utvalg_Intersex	Utvalg_lykkelig	Utvalg_fag	Aldri_tenkt	Utrygt_stille_spm	Rep_matters_B	Bib_pleier_ha	Alltid_velkommen	Trygge_rom_gen_B	Ingen_rolle	Ingenting_tilby	Bibs_ansvar	Minoritetsstress_ansatte	Minoritetsstress_brukere	Lhbtiq_vennlig	Rom_for_forbedring	Andre_brukere	Helt_meg_selv	Ikke_velkommen	Ingen_rolle_IB	Trygge_rom_pers_IB	Trygge_rom_gen_IB	Godt_utvalg	Skeiv_medieforbruk_pos	Skeiv_medieforbruk_neg	Rep_matters_IB	Mer_skj_item	Mer_skj_skaper	Mer_skj_mangfold	Mer_faglitt	Mer_BU	Bedre_gjenfinning	Info	Kompetanseheving	Apne_ansatte	Tredje_KI	Selvbestemt_KID	Endre_KID	Toaletter	Pronomen_bruk	Nulltoleranse	Skilting	Behov_kompetanseheving	Overall_tilfredshet	Svartid
153	12518652		30-44	S	K		Y		Hun	N				LG	Q				Skeiv	N												I			1.0	N		Mindre enn 3 måneder siden	20-39 ganger	Y	N	N	-1.0	-1.0	1.0	-2.0	1.0	0.0	-2.0	0.0	-2.0	2.0	N	N				N				N	1.0	1.0	-2.0	2.0	2.0	-2.0	-2.0	2.0	1.0	2.0	1.0	2.0	-2.0	2.0	-2.0	1.0	2.0	1.0	2.0	1.0									2	2	2	2	2	2	2	1	1	2	2	1	1	0	2	1	5.0	5.0	20 minutter 22 sekunder
154	12518760		16-29	O	IB		NONE	jeg er en cis-kvinne for hva som gjelder kropp. det vil si, den hunkjønnskroppen min går fint for meg. men jeg føler ikke at jeg er en kvinnelig kjønnsidentiet, og ikke-binær høres passende ut for meg.	hun/henne	N							SU			N														U	2.0	Y		3-11 måneder siden	1-2 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	2.0	N	N				N				N		2.0				1.0	-1.0	2.0		2.0	2.0	2.0	-2.0	2.0	-2.0	-2.0	0.0	-1.0	1.0	2.0									2	2	1	2	2	2	2	-1	-2	-1	-1	-1	-1	-2	0	-2	2.0	6.0	18 minutter 12 sekunder
155	12519010		16-29	V	K		Y		Hun, henne	N			Bi						Biseksuell og bifil	Y		Het			Q							I			-1.0	U	Nevrologisk tilstand som ikke synes	Mindre enn 3 måneder siden	10-19 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	0.0	0.0	-1.0	-1.0	-2.0	2.0	N	N	Y_Pos				Y_Pos				2.0	0.0		1.0		-1.0	-2.0	-2.0	2.0	2.0	2.0	0.0	-2.0	-1.0	-1.0	-2.0	2.0	-2.0	1.0	2.0									1	-2	0	0	0	-1	-2	-1	-2	-1	-2	-2	-1	-2	2	-2	1.0	7.0	15 minutter 18 sekunder
156	12519083		30-44	O	M		Y		Han/han	N				LG						N												I			0.0	N		Mindre enn 3 måneder siden	10-19 ganger		Y	Y	-2.0	-2.0	-2.0	-1.0	-1.0	0.0	-2.0	-2.0	-2.0	2.0	N	N			U				U		2.0	1.0		0.0	1.0	-1.0		0.0	0.0	2.0	2.0	1.0	-2.0	1.0		-1.0	2.0	0.0	1.0	2.0									0	0	0	0	0	0	0	0	0	0	-1	0	1	-2	0	0	4.0	4.0	12 timer 42 minutter 22 sekunder
157	12519293		30-44	O	IB	Transmaskulin	N		Han	N					Q				Ikke ute av skapet, så jeg beskriver den sjelden med ord.	N														U	1.0	N		6 år siden eller mer																																													0.0	1.0	0.0	0.0	2.0	2.0	-1.0	2.0	1	1	1	2	1	2	2	1	1	1	1	2	2	0	2	1			17 minutter 35 sekunder
158	12519508		16-29	O	K	Kvinne	Y		Hun/henne	N			Bi		Q				Bifil/skeiv	N												I			1.0	N		Mindre enn 3 måneder siden	6-9 ganger		Y	Y	-1.0	-1.0	-1.0	0.0	0.0	0.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	2.0	-1.0		-2.0	1.0	-1.0	-2.0	2.0	0.0	2.0	2.0	2.0	-2.0	2.0	-2.0	-1.0	1.0	1.0	1.0	1.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5.0	6.0	16 minutter 42 sekunder
159	12519595		16-29	T	IB		N		han/dem	K	Ace									SU				LG							S				2.0	Y		3-11 måneder siden	1-2 ganger	Y	N	Y	-2.0	-1.0	-2.0	-1.0	0.0	1.0	-2.0	-2.0	-1.0	-1.0	Y	N			U				U		-2.0	-2.0	-2.0	-2.0	-1.0	-1.0	1.0	1.0	-2.0	0.0	0.0	1.0	2.0	0.0	1.0	-2.0	0.0	1.0	2.0	-1.0									2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	5.0	3.0	37 minutter 51 sekunder
160	12519638		16-29	V	K		Y		hun	N			Bi		Q	Fluid			Bi eller pan-seksuell	SU			Bi									I			0.0	N		Mindre enn 3 måneder siden	10-19 ganger	Y	N	N	-2.0	-2.0	-2.0	-2.0	0.0	0.0	-1.0	-1.0	-1.0	1.0	N	N			U	N				N	-1.0	-1.0		0.0	-2.0	1.0	1.0	2.0	-2.0	2.0	1.0	1.0	-1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0									2	2	2	2	2	2	1	1	0	2	2	2	2	-1	1	-2	5.0	4.0	14 minutter 9 sekunder
161	12520136		16-29	O	K		Y		Hun/henne	N				LG	Q					N												I			-1.0	N		Mindre enn 3 måneder siden	20-39 ganger		Y	N	-1.0	-1.0	-2.0	2.0	0.0	-2.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	0.0	0.0		2.0	2.0	-1.0		0.0	2.0	2.0	2.0	2.0	-2.0	1.0	-2.0	-2.0	2.0	-2.0		2.0									1	0	0	0	0	0	-2	-1	-1	0	0	0	0	0	2	-1	3.0	6.0	16 minutter 53 sekunder
162	12520181		16-29	V	K	Kvinne	Y		Hun/henne	N			Bi	LG					Lesbisk el bifil	Y		Het	Bi	LG					panromantisk	Y					2.0	U	poly	1-3 år siden	3-5 ganger	Y	N	N	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-2.0	2.0	N	N				N				N	2.0	1.0	2.0	1.0	0.0	-1.0	-2.0	1.0	1.0	2.0	2.0	2.0	-1.0	0.0	-2.0	-2.0	1.0	1.0	-2.0	2.0									1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	5.0	6.0	11 minutter 26 sekunder
163	12520307		30-44	T	K		Y		Hun/henne	N			Bi		Q				Bifil, skeiv	N												I			2.0	Y		1-3 år siden	1-2 ganger	Y	N	N	-1.0	-1.0	-1.0	-1.0	0.0	0.0	-2.0	-2.0	-1.0	1.0	N	Y				N			U		-1.0	-1.0		0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	-2.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0									2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	5.0	4.0	29 minutter 40 sekunder
164	12520325		16-29	O	K	Gynefil	Y		Hun/hen	U				LG	Q	Fluid			Gynefil	Y				LG				NONE	Sapfisk/ sapphic		S				1.0	N		Mindre enn 3 måneder siden	3-5 ganger		Y	Y	0.0	-2.0	0.0	-1.0	1.0	0.0	0.0	0.0	-2.0	2.0	N	N	Y_Pos				Y_Pos				1.0	1.0		1.0	-1.0	-2.0	-2.0	1.0	2.0	2.0	2.0	0.0	-2.0	1.0	-2.0	-2.0	2.0	1.0	-1.0	2.0									2	2	2	2	2	1	0	2	1	2	0	0	2	1	2	0	5.0	4.0	18 minutter 3 sekunder
165	12520414		30-44	V	IB		N		Hen/ho/han	N			Bi						Bifil	N											S	I			2.0	Y		1-3 år siden	3-5 ganger	Y	N	N	-1.0	0.0	0.0	-1.0	-1.0	-1.0	-2.0	-1.0	0.0	1.0	Y	Y			U				U		-2.0	-2.0		-2.0	-1.0	0.0	2.0	2.0	0.0	0.0	-1.0	-1.0	-1.0	1.0	2.0	1.0	1.0	2.0	1.0	-2.0									1	2	2	1	2	1	1	1	2	2	1	2	2	2	2	2	6.0	5.0	23 minutter 26 sekunder
166	12520533		16-29	O	K		N		Hun/henne	N			Bi							N												I			1.0	Y		3-11 måneder siden	3-5 ganger	N	N	N	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	-2.0	-2.0		-2.0	-2.0	2.0		1.0		1.0	1.0	0.0	1.0	2.0	1.0	1.0			1.0	1.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7.0	4.0	11 minutter 29 sekunder
167	12521166		30-44	N	IB	agender	N		hen/de/hun	N			Bi		Q	Fluid				N												I			0.0	N		Mindre enn 3 måneder siden	1-2 ganger	Y	N	Y	0.0	-2.0	-2.0	-1.0	-1.0	-1.0	-2.0	-2.0	-1.0	1.0	Y	Y			U			Y_Neg			-2.0	-1.0		1.0	-1.0	-1.0	1.0	1.0	1.0	0.0	0.0	1.0	-1.0	1.0	-2.0	2.0	1.0	1.0	2.0	-2.0									1	2	1	1	1	1	-1	1	2	2	1	1	2	1	2	-1	6.0	3.0	13 minutter 26 sekunder
168	12521304		16-29	T	K		Y		hun/henne	N	Ace					Fluid				Y			Bi									I			1.0	N		Mindre enn 3 måneder siden	20-39 ganger	Y	N	N	-1.0	-1.0	0.0	-1.0	1.0	2.0	1.0	-2.0	-1.0	2.0	N	Y				N		Y_Neg				-2.0		-1.0	1.0	-2.0	1.0	2.0	-1.0	1.0	1.0	-2.0	-2.0	1.0	1.0	2.0	2.0	1.0	1.0	-1.0									2	2	2	0	2	1	2	2	2	2	2	1	2	1	2	-1	6.0	2.0	20 minutter 33 sekunder
169	12521950	Y	16-29	T	IB		N		han/hen/hun	U					Q					SU					Q					Y					1.0	N		3-11 måneder siden	1-2 ganger	Y	N	Y	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.0	2.0	N	N			U				U		-2.0	0.0	-1.0	1.0	-1.0	-1.0	2.0	2.0	-1.0	1.0	1.0	-1.0	0.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7.0	2.0	11 minutter 58 sekunder
170	12522042	Y	16-29	O	IB	ikke-binær	N		han/de	N			Bi		Q				skeiv	SU				LG										U	2.0	Y		3-11 måneder siden	10-19 ganger		Y	N	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	Y	U			U				U		-2.0	-2.0		-2.0	0.0	-1.0	2.0	2.0	0.0	1.0	1.0	1.0	-2.0	1.0	1.0	-1.0	0.0	0.0	0.0	-1.0									2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	0	6.0	2.0	18 minutter 12 sekunder
171	12522828	Y	30-44	V	K	transjente	N		hun/henne	N			Bi		Q				bi	SU			Bi		Q						S	I			2.0	N		6 år siden eller mer																																													-2.0	2.0	-1.0	1.0	1.0	-1.0	-2.0	2.0	2	2	1	1	1	2	1	2	1	2	1	2	2	1	2	2			12 minutter 37 sekunder
172	12524053	Y	30-44	S	IB		N		Hun/henne	U			Bi		Q	Fluid				SU					Q	Fluid	SU					I			1.0	N		Mindre enn 3 måneder siden	10-19 ganger	N	N	N	-2.0	-2.0	-1.0	-2.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.0	Y	N				N				N	-2.0	-1.0	2.0	-2.0	-2.0	1.0	2.0	1.0	-1.0	1.0	-1.0	-1.0	-1.0	2.0	1.0	1.0	0.0	1.0	1.0	-1.0									2	1	2	2	2	2	1	2	2	1	1	1	2	1	2	0	7.0	3.0	14 minutter 39 sekunder
173	12525498	Y	45-60	O	M	Han	Y		Han	N					Q				Queer	N										Y					2.0	N		3-11 måneder siden	6-9 ganger		Y	N	0.0	0.0	0.0	1.0	1.0	1.0	-1.0	-1.0	-2.0	2.0	N	N	Y_Pos				Y_Pos				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	-2.0	2.0	-2.0	-2.0	2.0	1.0	-1.0	2.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6.0	6.0	8 minutter 31 sekunder
174	12525533	Y	16-29	T	M		Y		Han/ham	N				LG	Q					N													N		0.0	N		6 år siden eller mer																																													-2.0	2.0		2.0	0.0	1.0	0.0	1.0	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	-1	1	0			8 minutter 31 sekunder
175	12525834	Y	45-60	S	M		Y		Han	N				LG						Y				LG	Q					Y					1.0	N		3-11 måneder siden	1-2 ganger	Y	N	Y	1.0	1.0	0.0	1.0	-1.0	-1.0	-2.0	-1.0	-1.0	1.0	N	N	Y_Pos	Y_Neg						N	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	-2.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0									1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	5.0	6.0	8 minutter 14 sekunder
176	12526028	Y	30-44	O	K	Kvinne	Y		Hun	N			Bi		Q				Skeiv bi	Y				LG	Q				Skeiv	Y					2.0	N		Mindre enn 3 måneder siden	10-19 ganger		Y	Y	0.0	-1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	N	N		Y_Neg			Y_Pos	Y_Neg			2.0	-1.0		-1.0	-2.0		1.0	2.0	1.0	-1.0	-1.0	-1.0	-1.0	2.0	1.0	-1.0	1.0	2.0	1.0	-1.0									2	2	2	2	2	2	2	2	-1	2	0	2	2	1	2	2	6.0	5.0	9 minutter 33 sekunder
177	12526711	Y	16-29	O	IB	Maverick/Ikkje-Binær	N		De/dem	U	Ace		Bi		Q			NONE	Aromantisk	Y	Aro		Bi							Y					2.0	U	Disabled, bruker stokk og rullestol. Er neurodiverse, invandrer	Mindre enn 3 måneder siden	20-39 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	1.0	1.0	0.0	-2.0	0.0	2.0	Y	U			U				U		-2.0	-2.0		-2.0	-2.0	-1.0	2.0	2.0	-1.0	0.0	0.0	-2.0	-1.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7.0	3.0	31 minutter 33 sekunder
178	12526722	Y	16-29	O	K		N		Hun	Y						Fluid				Y					Q					Y					2.0	U	Funskjonsnedsettelse	Mindre enn 3 måneder siden	20-39 ganger	N	N	N	1.0	1.0	1.0	2.0	0.0	0.0	-2.0	0.0	-2.0	2.0	N	N				N				N	0.0	0.0	0.0	2.0	2.0	1.0	-2.0	-1.0		2.0	2.0	2.0	-2.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0									0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	7.0	11 minutter 28 sekunder
179	12526973	Y	16-29	V	K		Y		Hun/henne	N			Bi		Q	Fluid			Kvinne som liker kvinner (fordi jeg er usikker på om jeg er bifil eller lesbisk)	N											S	I	N		2.0	N		Mindre enn 3 måneder siden	20-39 ganger	N	N	N	1.0	1.0	2.0	-1.0	1.0	1.0	-2.0	0.0	0.0	1.0	N	U		Y_Neg						N		1.0		-1.0	-1.0	-2.0	1.0	2.0	1.0	1.0	2.0	1.0	-2.0	2.0	-2.0	2.0	2.0	1.0	2.0	2.0									2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	7.0	6.0	16 minutter 54 sekunder
180	12527188	Y	16-29	V	IB		SU		Hun/henne	N				LG	Q				Ikke-binær lesbe	N											S	I			2.0	N		Mindre enn 3 måneder siden	20-39 ganger	N	N	Y	1.0	1.0	1.0	0.0	2.0	1.0	-1.0	0.0	0.0	1.0	N	N		Y_Neg						N	-2.0	1.0		-1.0	-1.0	-2.0	2.0	2.0	1.0	1.0	2.0	1.0	-2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7.0	6.0	11 minutter 7 sekunder
181	12527278	Y	16-29	V	IB	går til vanleg ikkje i meir detalj enn ikkje-binær.	N		han eller go på norsk they/them på engelsk.	N				LG					lesbisk	N										Y					2.0	N		Mindre enn 3 måneder siden	3-5 ganger	Y	N	N	-2.0	-2.0	-2.0	-2.0	-1.0	1.0	-2.0	-2.0	-2.0	2.0	U	U				N				N	-2.0	-2.0				2.0	1.0	2.0		1.0	1.0	1.0	1.0	2.0	1.0	1.0			0.0	0.0									2	2	2	2	2	2	1	2	1	0	0	2	2	0	2	-1	5.0	5.0	17 minutter 39 sekunder
182	12527618	Y	16-29	S	K		Y		hun/henne	N	Ace		Bi				SU			Y			Bi										N		-1.0	N		3-11 måneder siden	1-2 ganger	Y	N	N	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	2.0	-2.0		-1.0	-1.0	1.0		1.0	0.0	1.0	2.0	1.0	-1.0	1.0		-1.0	1.0	0.0	-1.0	1.0									2	2	1	1	2	2	1	2	1	2	1	2	2	0	2	1	5.0	5.0	23 minutter 57 sekunder
183	12527822	Y	16-29	O	IB		N		de/dem/hen	N	Ace								aroace	N												I			2.0	N		3-6 år siden	1-2 ganger	Y	N	N					-2.0	-2.0	-2.0	-2.0	-2.0	2.0	N	N			U						-1.0	-1.0		0.0	-1.0	-1.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0									0	2	2	1	1	2	0	0	0	1	0	1	1	1	2	1	4.0	4.0	59 minutter 22 sekunder
184	12528060	Y	30-44	O	M		N		Han/ham	N		Het								N													N		-1.0	N		6 år siden eller mer																																													-2.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	0	0	0	2	2	1	0	1	-2	-1	-1	2	-1	-2	2	0			51 minutter 53 sekunder
185	12528686	Y	16-29	N	IB		SU		Hen/de/han	U					Q				Skeiv eller bifil	SU							SU					I			2.0	N		Mindre enn 3 måneder siden	3-5 ganger		Y	Y	-1.0	0.0	0.0	-2.0	1.0	-2.0	-2.0	-1.0	-2.0	2.0	U	U			U					N	-2.0	0.0		0.0	-2.0	1.0	0.0	2.0	-1.0	2.0	2.0	2.0	0.0	2.0	-2.0	0.0	2.0	0.0	0.0	2.0									2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	6.0	3.0	1 time 27 minutter 45 sekunder
186	12529191	Y	16-29	T	IB	Transmaskulin	N		Han, dem	K	Ace		Bi		Q					SU	Aro		Bi		Q	Fluid	SU			Y					2.0	U	Autistisk men ikke i en veldig merkbar grad	Mindre enn 3 måneder siden	10-19 ganger	Y	N	N	0.0	1.0	-1.0	0.0	0.0	0.0	-2.0	-2.0	-2.0	2.0	U	N			U				U		-2.0	-2.0	-2.0	0.0	1.0	0.0	-2.0	2.0		2.0	2.0	1.0	-1.0	1.0	-2.0	-1.0	2.0	-1.0	1.0	2.0									2	2	2	2	2	2	1	1	0	2	0	1	2	0	2	0	5.0	6.0	22 minutter 25 sekunder
187	12529265	Y	16-29	T	IB		SU		Hun/henne, de/dem	N					Q				Skeiv/Bifil	N													N		-1.0	N		Mindre enn 3 måneder siden	3-5 ganger	Y	N	N	-1.0	-2.0	0.0	-1.0	-2.0	-1.0	-2.0	-2.0	-2.0	2.0	U	N				N				N	0.0	0.0		0.0	0.0	2.0		-1.0		0.0	0.0	2.0	-1.0	1.0	-2.0	-2.0	1.0	0.0	0.0	2.0									1	2	1	2	2	0	2	1	0	2	1	1	1	1	2	2	5.0	5.0	14 minutter 54 sekunder
188	12529296	Y	16-29	S	IB	Ikke-binær trans	N		Primært De/Dem, men ok med alle	N	Ace				Q	Fluid			Autochorisexual	Y			Bi		Q	Fluid			Panromantisk		S				2.0	Y		3-11 måneder siden	1-2 ganger	Y	N	N	-2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-2.0	-2.0	0.0	0.0	U	U			U				U		-1.0	-1.0		-2.0	-1.0	1.0	2.0	0.0	0.0	-1.0	-1.0	0.0	0.0	-1.0	1.0	1.0	1.0	2.0	1.0	-2.0									1	2	2	2	2	1	1	2	0	2	2	2	2	2	2	1	6.0	4.0	14 minutter 3 sekunder
189	12529449	Y	16-29	O	IB	Skeiv	N		De/dem, han, hen	N			Bi		Q				Skeiv	N										Y					2.0	Y		3-11 måneder siden	3-5 ganger	Y	N	Y	-1.0	-1.0	1.0	0.0	-1.0	-1.0	-2.0	-2.0	-1.0	2.0	U	N				N				N	-2.0	-1.0		0.0	-1.0	-1.0	1.0	1.0	-1.0	2.0	1.0	2.0		1.0	-1.0	1.0	2.0	0.0	2.0	1.0									2	1	2	1	1	0	1	1	-1	2	1	2	2	1	2	0	5.0	2.0	11 minutter 55 sekunder
190	12530295	Y	16-29	O	M		N		Han	U			Bi						pan	N											S				2.0	Y		3-11 måneder siden	1-2 ganger	Y	N	N	-2.0	-1.0	-2.0	-2.0	0.0	-2.0	-1.0	0.0	-1.0	1.0	Y	Y			U					N	-2.0	-1.0	-2.0	1.0	0.0	-2.0	-1.0	2.0	-2.0	0.0	0.0	-1.0	0.0	2.0	1.0	-1.0	0.0	2.0	0.0	-1.0									2	2	2	1	2	2	0	1	1	2	0	2	2	2	2	1	6.0	2.0	13 minutter 57 sekunder
191	12530640	Y	16-29	O	SU		SU		hun/henne	N			Bi						Bifil	N											S	I			1.0	N		Mindre enn 3 måneder siden	20-39 ganger	N	N	N	-2.0	-2.0	0.0	-2.0	1.0	1.0	-1.0	-2.0	-2.0	2.0	N	N				N				N		-1.0		0.0	-1.0	1.0	0.0	2.0	0.0	2.0	1.0	1.0	-1.0	1.0	-2.0	1.0	0.0	0.0	1.0	1.0									1	1	2	2	2	1	1	1	0	2	2	2	2	0	2	0	5.0	3.0	10 minutter 14 sekunder
192	12531637	Y	30-44	N	K		Y		Hun/henne, av og til de/dem	N	Ace			LG	Q				Skeiv	N												I			2.0	Y		Mindre enn 3 måneder siden	10-19 ganger	N	N	N	-1.0	-2.0	0.0	-2.0	-1.0	0.0	-1.0	0.0	-2.0	1.0	N	Y			U				U		2.0	-2.0		-1.0	-2.0	-1.0	1.0	1.0	-1.0	2.0	1.0	-1.0	-1.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0									2	2	2	2	2	2	1	2	1	2	2	2	2	-1	2	1	5.0	5.0	12 minutter 14 sekunder
193	12532682	Y	30-44	V	K		Y		Hun	N					Q				Skeiv	N										Y					-1.0	N		Mindre enn 3 måneder siden	10-19 ganger	Y	N	Y	-1.0	-1.0	-1.0	-1.0	1.0	-1.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	2.0	-1.0		-2.0	0.0	-1.0	-1.0	2.0	-1.0	2.0	2.0	2.0	-2.0	0.0	-2.0	-2.0	0.0	0.0	0.0	2.0									2	2	1	2	2	2	0	1	0	0	0	0	0	-1	2	1	4.0	3.0	20 minutter 30 sekunder
194	12533005	Y	30-44	O	K		Y		Hun	N				LG						N													N		0.0	N		Mindre enn 3 måneder siden	6-9 ganger		Y	N	-2.0	-2.0	1.0	-2.0	-2.0	-1.0	-2.0	-1.0	-2.0	2.0	U	U			U				U		2.0	-2.0	2.0	-2.0		1.0	1.0	1.0		2.0	2.0	2.0	-2.0	1.0		1.0	2.0		2.0	-1.0									1	1	2	0	2	1	-1	1	1	2	0	1	1	0	2	0	5.0	4.0	21 minutter 15 sekunder
195	12533075	Y	16-29	O	M		N		Han/ham	N				LG						SU				LG										U	2.0	U	Autist	1-3 år siden	40 ganger eller mer	Y	N	N	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	1.0	Y	N				N				N	2.0	-1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	2.0	2.0	0.0	0.0	-2.0	-2.0	0.0	0.0	2.0	2.0									2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7.0	1.0	13 minutter 24 sekunder
196	12533492	Y	30-44	V	K		Y		Hun	N				LG						N										Y					-1.0	N		3-11 måneder siden	3-5 ganger	Y	N	N	-2.0	-2.0	-2.0	0.0	-1.0	0.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	0.0	0.0	0.0			-1.0		1.0	1.0	2.0	2.0	2.0		1.0	-2.0	-2.0	2.0	0.0	2.0	0.0									1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.0	4.0	12 minutter 33 sekunder
197	12533753	Y	30-44	O	K		Y		Hun/henne	N			Bi							N													N		-2.0	N		Mindre enn 3 måneder siden	6-9 ganger	Y	N	N	-1.0	-2.0	-2.0	1.0	0.0	0.0	-2.0	-1.0	2.0	2.0	N	N				N				N	2.0	1.0		2.0	0.0		-2.0	1.0	-1.0	2.0	0.0	2.0	-2.0	2.0	-2.0	-2.0	2.0		1.0	2.0									2	2	2	1	2	2	0	1	-1	0	1	1	1	0	2	2	4.0	7.0	15 minutter 42 sekunder
198	12533881	Y	30-44	O	M	Transmann	N		Han/ham	N	Ace					Fluid			Prøver å unngå det.	Y			Bi						Pan	Y					0.0	Y		3-11 måneder siden	1-2 ganger		Y	N	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	2.0	2.0	Y	N				N				N						2.0	2.0	2.0		0.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0		2.0	-2.0									2	2	2	2	2	2	2	1	2	2	2	2	2	-1	2	2	5.0	3.0	15 minutter 47 sekunder
199	12534990	Y	16-29	O	IB		N		De/dem	N			Bi		Q					N										Y	S				2.0	Y		Mindre enn 3 måneder siden	20-39 ganger		Y	N	-1.0	-1.0	-1.0	1.0	0.0	-1.0	-2.0	-2.0	-1.0	2.0	N	N				N				N	-2.0	-1.0		-1.0	-2.0	1.0		2.0	1.0	1.0	2.0	1.0	-2.0	1.0	2.0	2.0	2.0	-1.0	2.0	-2.0									1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	6.0	5.0	13 minutter 37 sekunder
200	12535300	Y	30-44	V	K		Y		Alle	N				LG						N										Y					2.0	N		1-3 år siden	1-2 ganger	Y	N	N	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	2.0	N	N				N				N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0									2	2	2	2	2	2	2	0	0	2	2	2	2	2	0	0	6.0	4.0	10 minutter 42 sekunder
